2025-08-31 16:20:01,269 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-07 13:00:00_2022-08-07 19:00:00 has been selected successfully!
2025-08-31 16:20:01,270 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-07 22:00:00_2022-08-08 01:00:00 has been selected successfully!
2025-08-31 16:20:01,271 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-08 12:00:00_2022-08-08 19:00:00 has been selected successfully!
2025-08-31 16:20:01,272 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-08 21:00:00_2022-08-09 02:00:00 has been selected successfully!
2025-08-31 16:20:01,273 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-09 13:00:00_2022-08-09 17:00:00 has been selected successfully!
2025-08-31 16:20:01,274 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-09 18:00:00_2022-08-10 02:00:00 has been selected successfully!
2025-08-31 16:20:01,275 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-10 14:00:00_2022-08-11 02:00:00 has been selected successfully!
2025-08-31 16:20:01,276 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-11 12:00:00_2022-08-11 18:00:00 has been selected successfully!
2025-08-31 16:20:01,277 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-11 19:00:00_2022-08-12 02:00:00 has been selected successfully!
2025-08-31 16:20:01,278 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-12 12:00:00_2022-08-12 19:00:00 has been selected successfully!
2025-08-31 16:20:01,279 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-12 20:00:00_2022-08-13 02:00:00 has been selected successfully!
2025-08-31 16:20:01,280 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-13 11:00:00_2022-08-13 14:00:00 has been selected successfully!
2025-08-31 16:20:01,281 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-13 15:00:00_2022-08-13 21:00:00 has been selected successfully!
2025-08-31 16:20:01,282 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-13 22:00:00_2022-08-14 02:00:00 has been selected successfully!
2025-08-31 16:20:01,283 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-14 11:00:00_2022-08-14 16:00:00 has been selected successfully!
2025-08-31 16:20:01,283 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-14 20:00:00_2022-08-15 02:00:00 has been selected successfully!
2025-08-31 16:20:01,284 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-15 09:00:00_2022-08-16 02:00:00 has been selected successfully!
2025-08-31 16:20:01,285 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-16 10:00:00_2022-08-16 13:00:00 has been selected successfully!
2025-08-31 16:20:01,286 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-16 20:00:00_2022-08-17 02:00:00 has been selected successfully!
2025-08-31 16:20:01,287 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-17 10:00:00_2022-08-18 02:00:00 has been selected successfully!
2025-08-31 16:20:01,288 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-18 15:00:00_2022-08-19 02:00:00 has been selected successfully!
2025-08-31 16:20:01,289 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-19 13:00:00_2022-08-19 16:00:00 has been selected successfully!
2025-08-31 16:20:01,290 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-08-19 17:00:00_2022-08-20 02:00:00 has been selected successfully!
